United States Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost values are in billions of dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95,All Disasters Count,All Disasters Cost,All Disasters Lower 75,All Disasters Upper 75,All Disasters Lower 90,All Disasters Upper 90,All Disasters Lower 95,All Disasters Upper 95,,
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.8,6.2,7.8,6.2,8.5,5.6,8.5,2,64.4,57.6,69.9,55.4,72.4,54.4,73.8,0,0,0,0,0,0,0,0,1,5.3,4.7,5.8,4.5,6,4.5,6.2,7,76.5,68.5,83.5,66.1,86.9,64.5,88.5,,
1993,1,2.7,2.8,3.2,2.5,3.4,2.5,3.4,1,44.4,31.4,42.4,29.5,44.3,28.2,45.8,0,0,0,0,0,0,0,0,1,1.3,1,1.3,1,1.5,0.8,1.5,0,0,0,0,0,0,0,0,1,2.9,2.1,2.9,2.1,3.1,1.9,3.3,1,11.7,10.8,12.4,10.6,12.9,9.9,13.5,5,63,48.1,62.2,45.7,65.2,43.3,67.5,,
1994,0,0,0,0,0,0,0,0,1,2,2,2.8,1.8,3,1.8,3.2,0,0,0,0,0,0,0,0,1,2,1.8,2.1,1.8,2.3,1.6,2.3,1,2,1.8,2.4,1.6,2.4,1.6,2.4,1,1.5,1.2,1.8,1.2,1.8,1,2,2,8.3,7.2,9.1,7,9.3,6.8,9.3,6,15.8,14,18.2,13.4,18.8,12.8,19.2,,
1995,1,1.9,1.8,2.2,1.6,2.6,1.4,2.8,1,5,3.2,4.8,2.8,5.2,2.8,5.2,0,0,0,0,0,0,0,0,2,12,9.3,12.5,8.5,13.3,8.1,13.9,3,15,13.7,17.5,13.3,19.1,12.9,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33.9,28,37,26.2,40.2,25.2,41.8,,
1996,1,3.5,3.3,4.5,3.3,4.9,3.1,5.1,2,3.3,2.8,4,2.8,4.2,2.6,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,8.8,11.3,8.2,11.8,7.8,12.2,0,0,0,0,0,0,0,0,1,5.9,4.7,6.4,4.5,6.8,4.5,7,5,22.3,19.6,26.2,18.8,27.7,18,28.7,,
1997,0,0,0,0,0,0,0,0,2,12.6,11.7,17.2,11,18,10.3,18.8,0,0,0,0,0,0,0,0,1,1.8,1.7,2.1,1.7,2.1,1.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.4,13.4,19.3,12.7,20.1,11.8,21.1,,
1998,1,6.6,5.6,6.9,5.4,7.3,5.2,7.5,1,1.7,1.5,2.2,1.5,2.4,1.3,2.4,1,4.7,3.7,5.6,3.6,5.8,3.6,5.8,4,8.7,7.8,9.3,7.3,9.7,7.1,10.3,3,14.1,12.2,15.9,11.4,17,11.2,17.3,0,0,0,0,0,0,0,0,1,2.6,2.1,2.6,2.1,2.8,1.9,3,11,38.4,32.9,42.5,31.3,45,30.3,46.3,,
1999,1,4.6,4.2,5,4,5,4,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7,3.1,4,3.1,4.2,2.9,4.4,1,11.7,10.3,12.6,9.9,13.1,9.5,13.5,0,0,0,0,0,0,0,0,2,3.5,3.3,4,3.2,4.4,3,4.8,5,23.5,20.9,25.6,20.2,26.7,19.4,27.9,,
2000,1,8.9,8.4,9.7,8.1,10,7.9,10.2,1,1.6,0.9,1.7,1.2,1.9,0.9,1.9,0,0,0,0,0,0,0,0,1,1.2,1.6,2.1,1.6,2.3,1.6,2.3,0,0,0,0,0,0,0,0,1,1.9,1.8,2.1,1.8,2.1,1.6,2.3,1,1.3,1.1,1.4,0.9,1.4,0.9,1.6,5,14.9,13.8,17,13.6,17.7,12.9,18.3,,
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.4,5.9,6.6,5.7,7,5.5,7.2,1,14.5,12.2,15.5,11.7,16.3,11.4,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20.9,18.1,22.1,17.4,23.3,16.9,24,,
2002,1,15.3,15.3,16.8,15,17.2,14.8,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.7,4.4,5,4.2,5.4,4,5.4,2,3.7,3.3,4.2,3,4.5,3,4.6,1,2.2,1.8,2.5,1.7,2.7,1.7,2.8,0,0,0,0,0,0,0,0,6,25.9,24.8,28.5,23.9,29.8,23.5,30.1,,
2003,1,8.3,7.6,8.5,7.5,8.6,7.3,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.2,11.7,14.7,11.3,15.2,11,15.7,1,8.9,7.7,9.3,7.3,9.8,7.3,9.9,1,6.3,5.4,6.7,5.2,7,5.1,7.3,0,0,0,0,0,0,0,0,7,36.7,32.4,39.2,31.3,40.6,30.7,41.7,,
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7,2.5,3.1,2.4,3.2,2.3,3.3,4,85.5,76.6,91.4,74.5,94.6,73.4,96.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,88.2,79.1,94.5,76.9,97.8,75.7,99.7,,
2005,1,2.3,2.4,2.7,2.2,2.7,2.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,1.2,1.4,1.2,1.4,1.1,1.4,4,253.3,212.6,276.9,201.9,292.7,195.3,302.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,256.9,216.2,281,205.3,296.8,198.6,306.9,,
2006,1,9.1,8.5,9.9,8.4,10.2,8.2,10.3,1,2.3,2.1,3.1,1.9,3.4,1.8,3.6,0,0,0,0,0,0,0,0,5,10.4,9.7,11,9.4,11.3,9.1,11.8,0,0,0,0,0,0,0,0,1,2.2,2,2.4,2,2.6,1.8,2.6,0,0,0,0,0,0,0,0,8,24,22.3,26.4,21.7,27.5,20.9,28.3,,
2007,1,5.3,5.2,5.8,5.1,6,5.1,6,0,0,0,0,0,0,0,0,2,5.1,4.4,5.8,4.3,6.1,4.2,6.1,1,3.7,3.2,3.7,3.1,3.7,3.1,3.8,0,0,0,0,0,0,0,0,1,4,3.8,4.4,3.6,4.5,3.5,4.8,0,0,0,0,0,0,0,0,5,18.1,16.6,19.7,16.1,20.3,15.9,20.7,,
